update,cats,dogs,fleas,FpC,FpD,catLockAveSize,dogLockAveSize,fleaKeyAveSize,fleaKeyAveSizeOnCats,fleaKeyAveSizeOnDogs,catBirths,dogBirths,fleaBirths,catDeaths,dogDeaths,fleaDeaths,fleaJumps,fleaJumpsAcross,fleasInherited,catCollectedResource,fleaOnCatCollectedResource,catTheft,infectedCatsRate,bitMatchCat,dogCollectedResource,fleaOnDogCollectedResource,dogTheft,infectedDogsRate,bitMatchDog,fleaCollectedResource
380,80,0,3677,45.962500,0.000000,30.000000,-1,40.085396,40.085396,-1,2,0,292,4,0,141,97,0,26,8.417875,6.332125,6.332125,1.000000,0.928974,-1,-1,-1,-1,-1,0.137767
390,72,0,3255,45.208333,0.000000,30.000000,-1,40.109063,40.109063,-1,4,0,206,3,0,129,95,0,49,8.869769,6.685787,6.685787,1.000000,0.895867,-1,-1,-1,-1,-1,0.147888
400,84,0,4014,47.785714,0.000000,30.000000,-1,40.146736,40.146736,-1,1,0,456,4,0,140,205,0,11,9.073730,6.501667,6.501667,1.000000,0.931125,-1,-1,-1,-1,-1,0.136059
410,90,0,4170,46.333333,0.000000,30.000000,-1,40.144604,40.144604,-1,3,0,387,2,0,160,174,0,39,8.184630,6.130185,6.130185,1.000000,0.909306,-1,-1,-1,-1,-1,0.132306
420,92,0,4122,44.804348,0.000000,30.000000,-1,40.184862,40.184862,-1,4,0,421,4,0,163,251,0,47,9.059058,6.303261,6.303261,1.000000,0.901176,-1,-1,-1,-1,-1,0.140684
430,96,0,4580,47.708333,0.000000,30.000000,-1,40.179039,40.179039,-1,2,0,401,1,0,167,304,0,22,8.530087,6.574080,6.574080,1.000000,0.926543,-1,-1,-1,-1,-1,0.137797
440,100,0,4455,44.550000,0.000000,30.000000,-1,40.210325,40.210325,-1,8,0,390,5,0,188,256,0,93,7.500867,5.732467,5.732467,1.000000,0.872358,-1,-1,-1,-1,-1,0.128675
450,97,0,4494,46.329897,0.000000,30.000000,-1,40.233645,40.233645,-1,6,0,278,3,0,144,247,0,76,7.591409,6.154296,6.154296,1.000000,0.887186,-1,-1,-1,-1,-1,0.132836
460,86,0,4021,46.755814,0.000000,30.000000,-1,40.234270,40.234270,-1,3,0,315,5,0,142,186,0,36,9.061860,6.790853,6.790853,1.000000,0.912483,-1,-1,-1,-1,-1,0.145241
470,95,0,4440,46.736842,0.000000,30.000000,-1,40.220721,40.220721,-1,3,0,290,5,0,174,247,0,32,8.375105,6.502088,6.502088,1.000000,0.920854,-1,-1,-1,-1,-1,0.139121
480,106,0,4633,43.707547,0.000000,30.000000,-1,40.239586,40.239586,-1,6,0,555,3,0,172,117,0,58,8.289858,5.546619,5.546619,1.000000,0.888001,-1,-1,-1,-1,-1,0.126903
490,96,0,4194,43.687500,0.000000,30.000000,-1,40.259895,40.259895,-1,7,0,303,6,0,148,141,0,88,8.242639,5.958750,5.958750,1.000000,0.871730,-1,-1,-1,-1,-1,0.136395
500,87,0,4097,47.091954,0.000000,30.000000,-1,40.231145,40.231145,-1,4,0,180,6,0,134,168,0,39,8.395785,6.814943,6.814943,1.000000,0.899924,-1,-1,-1,-1,-1,0.144716
510,80,0,3648,45.600000,0.000000,30.000000,-1,40.230263,40.230263,-1,3,0,314,5,0,133,141,0,32,8.867083,6.632917,6.632917,1.000000,0.912031,-1,-1,-1,-1,-1,0.145459
520,80,0,3598,44.975000,0.000000,30.000000,-1,40.190384,40.190384,-1,4,0,342,7,0,143,159,0,50,8.343875,6.072792,6.072792,1.000000,0.891669,-1,-1,-1,-1,-1,0.135026
530,80,0,3652,45.650000,0.000000,30.000000,-1,40.182913,40.182913,-1,4,0,267,2,0,139,228,0,55,8.275854,6.265812,6.265813,1.000000,0.895968,-1,-1,-1,-1,-1,0.137258
540,77,0,3579,46.480519,0.000000,30.000000,-1,40.219894,40.219894,-1,3,0,300,2,0,148,104,0,42,8.584113,6.221082,6.221082,1.000000,0.890512,-1,-1,-1,-1,-1,0.133843
550,73,0,3327,45.575342,0.000000,30.000000,-1,40.210400,40.210400,-1,4,0,252,4,0,130,179,0,39,8.002603,6.106986,6.106986,1.000000,0.883018,-1,-1,-1,-1,-1,0.133998
560,79,0,3565,45.126582,0.000000,30.000000,-1,40.243478,40.243478,-1,6,0,201,1,0,121,146,0,86,8.466667,6.723207,6.723207,1.000000,0.869891,-1,-1,-1,-1,-1,0.148986
570,75,0,3453,46.040000,0.000000,30.000000,-1,40.228207,40.228207,-1,3,0,216,1,0,130,171,0,53,8.407289,6.392711,6.392711,1.000000,0.909395,-1,-1,-1,-1,-1,0.138851
580,75,0,3502,46.693333,0.000000,30.000000,-1,40.181611,40.181611,-1,2,0,285,3,0,134,56,0,24,9.257511,6.920267,6.920267,1.000000,0.915415,-1,-1,-1,-1,-1,0.148207
590,75,0,3201,42.680000,0.000000,30.000000,-1,40.197438,40.197438,-1,8,0,383,4,0,128,177,0,101,8.605778,6.016444,6.016444,1.000000,0.839805,-1,-1,-1,-1,-1,0.140966
